Third Generation Homogenized Temperature for Canada  - Update to December 2019.,,,,,,,,,,,,,
Troisième génération de températures homogénéisées pour le Canada - Mise à jour décembre 2019.,,,,,,,,,,,,,
No,StnId,Station name,Prov,FromYear,FromMonth,ToYear,ToMonth,%Miss,Lat(deg),Long(deg),Elev(m),Joined,RCS
149,2201022,DELINE_CS,NWT,1991,1,2019,12,8.5,65.2,-123.4,21,y,n
150,2201450,FORT_GOOD_HOPE,NWT,1944,8,2019,12,25,66.2,-128.6,8,y,n
151,2201500,FORT_GOOD_HOPE_2,NWT,1908,9,1966,12,2,66.2,-128.6,4,n,n
152,2201579,FORT_LIARD,NWT,1973,7,2019,12,3.5,60.2,-123.4,21,y,n
153,2201601,FORT_MCPHERSON,NWT,1940,1,2014,11,19.2,67.4,-134.8,3,y,n
154,2201799,FORT_PROVIDENCE,NWT,1994,3,2019,12,4.6,61.3,-117.6,16,n,n
155,2201903,FORT_RELIANCE,NWT,1948,10,2019,12,9.2,62.7,-109.1,16,y,y
156,2202000,FORT_RESOLUTION,NWT,1911,8,2014,11,19.8,61.1,-113.6,16,y,n
157,2202102,FORT_SIMPSON,NWT,1895,11,2019,12,7.1,61.7,-121.2,16,y,y
158,2202202,FORT_SMITH,NWT,1913,7,2019,12,2.2,60,-111.9,20,y,y
159,2202402,HAY_RIVER,NWT,1893,9,2019,12,2.8,60.8,-115.7,16,y,y
160,2502505,HOLMAN_CS,NWT,2000,3,2019,12,3.7,70.7,-117.8,3,n,y
161,2202578,INUVIK,NWT,1957,3,2019,12,0.6,68.3,-133.5,10,y,y
162,2202678,LAC_LA_MARTRE,NWT,1994,3,2019,12,16.5,63.1,-117.2,27,n,n
163,220N003,LINDBURG_LANDING,NWT,1998,6,2019,12,9,61.1,-122.8,18,n,n
164,220B68C,LIVERPOOL_BAY,NWT,1992,12,2019,12,15.3,69.6,-130.9,10,n,n
165,220L002,LUTSELK'E_CS,NWT,2000,1,2017,7,1.4,62.4,-110.6,17,n,n
166,250M001,MOULD_BAY,NWT,1948,5,2019,12,5.4,76.2,-119.3,0,y,y
167,2202810,NORMAN_WELLS,NWT,1943,5,2019,12,0.7,65.2,-126.7,9,y,y
168,2203058,PAULATUK,NWT,1985,5,2019,12,5.9,69.3,-124,0,y,y
169,2203359,RAE_LAKES,NWT,1994,3,2019,12,22.9,64.1,-117.3,22,n,n
170,2503648,SACHS_HARBOUR,NWT,1955,11,2019,12,5.7,72,-125.2,8,y,y
171,2503886,THOMSEN_RIVER,NWT,1997,7,2019,12,17.5,73.2,-119.5,4,n,n
172,220N005,TRAIL_VALLEY,NWT,1998,9,2019,12,7.5,68.7,-133.5,8,n,n
173,2203914,TUKTOYAKTUK,NWT,1957,6,2019,12,6.7,69.4,-133,0,y,y
174,2201700,TULITA_A,NWT,1908,8,2014,12,36.6,64.9,-125.5,10,n,n
175,2204000,WRIGLEY_A,NWT,1943,8,2015,2,22.3,63.2,-123.4,15,n,n
176,2204101,YELLOWKNIFE,NWT,1942,7,2019,12,0.3,62.4,-114.4,20,y,y
177,2204200,YELLOWKNIFE_HYDRO,NWT,1943,1,2000,6,13.4,62.6,-114.2,15,n,n
178,2204300,YOHIN,NWT,1957,6,2019,12,22.4,61.2,-123.7,20,n,n
179,2400305,ALERT,NU,1950,7,2019,12,0.7,82.5,-62.3,6,y,y
180,2400404,ARCTIC_BAY,NU,1937,9,2019,12,18.9,73,-85,1,y,y
181,2301153,ARVIAT_CLIMATE,NU,2004,12,2019,12,1.5,61.1,-94,1,n,y
182,2300501,BAKER_LAKE,NU,1946,2,2019,12,1.7,64.3,-96,5,y,y
183,2400565,BREVOORT_ISLAND,NU,1959,11,2019,12,29.7,63.3,-64.1,37,n,n
184,2400602,CAMBRIDGE_BAY,NU,1940,1,2019,12,2.2,69.1,-105.1,1,y,y
185,2400636,CAPE_DORSET,NU,1927,9,2019,12,10.2,64.2,-76.5,5,y,y
186,2400650,CAPE_DYER,NU,1959,8,2019,12,20.8,66.6,-61.3,72,y,n
187,2400660,CAPE_HOOPER,NU,1957,1,2018,7,7,68.4,-66.8,39,n,n
188,2400F63,CAPE_MERCY,NU,1994,10,2018,8,8.1,64.9,-63.5,58,n,n
189,2400697,CAPE_PEEL_WEST,NU,1992,12,2019,12,22.4,69,-107.8,16,n,n
190,2300707,CHESTERFIELD,NU,1930,9,2014,11,9.9,63.3,-90.7,1,y,n
191,2400804,CLYDE,NU,1946,2,2019,12,1.6,70.4,-68.5,2,y,n
192,2301002,CORAL_HARBOUR,NU,1945,3,2019,12,1.6,64.2,-83.3,6,y,y
193,230J01Q,CROKER_RIVER,NU,1992,12,2018,7,6.9,69.2,-119.2,6,n,n
194,2401030,DEWAR_LAKES,NU,1958,2,2019,12,6.8,68.6,-71.1,52,n,y
195,2301102,ENNADAI_LAKE,NU,1949,10,2019,12,28,61.1,-100.8,35,y,y
196,2401199,EUREKA,NU,1947,5,2019,12,0.6,79.9,-85.9,1,y,y
197,2400570,FOX_FIVE,NU,1957,9,2018,6,9,67.5,-63.7,58,n,n
198,2302340,GJOA_HAVEN_CLIMATE,NU,1984,8,2019,12,3.8,68.6,-95.8,4,y,y
199,2402351,GRISE_FIORD,NU,1984,8,2019,12,16.2,76.4,-82.9,4,y,y
200,2402353,HALL_BEACH,NU,1957,1,2019,12,1.2,68.7,-81.2,0,y,y
201,2302370,HAT_ISLAND,NU,1992,12,2019,8,8,68.3,-100,3,n,n
202,2402592,IQALUIT,NU,1946,1,2019,12,1.2,63.7,-68.5,3,y,y
203,2402604,ISACHSEN_(AUT),NU,1997,8,2019,12,27.4,78.8,-103.5,5,n,y
204,2300904,KUGLUKTUK,NU,1930,10,2019,12,2.2,67.8,-115.1,2,y,y
205,2402684,LONGSTAFF_BLUFF,NU,1958,6,2009,7,8.4,68.9,-75.1,16,n,y
206,230N002,LUPIN,NU,1959,1,2019,12,4.4,65.7,-111.2,48,y,y
207,2403049,PANGNIRTUNG,NU,1995,9,2019,12,10.9,66.1,-65.7,2,n,y
208,2303094,KUGAARUK_CLIMATE,NU,1957,8,2019,12,4.3,68.5,-89.8,1,y,y
209,2403204,POND_INLET,NU,1922,10,2019,12,26.9,72.7,-77.9,6,y,y
210,2400573,QIKIQTARJUAQ_CLIMAT,NU,2005,3,2019,12,6.4,67.5,-64,0,n,y
211,2303405,RANKIN_INLET_A,NU,1981,1,2019,12,0.5,62.8,-92.1,3,y,n
212,2403505,RESOLUTE,NU,1947,10,2019,12,1.6,74.7,-94.9,3,y,y
213,2403602,RESOLUTION_ISLAND,NU,1929,10,2018,7,26.3,61.5,-64.6,36,y,n
214,2303610,ROBERTSON_LAKE_(AUT),NU,1995,1,2019,12,30.2,65.1,-102.4,24,n,y
215,2303685,SHEPHERD_BAY,NU,1957,4,2019,12,11.5,68.8,-93.4,4,n,y
216,2403756,STEFANSSON_ISLAND,NU,2002,8,2019,12,29.4,73.7,-105.3,1,n,y
217,2403855,TALOYOAK_A,NU,1984,9,2019,12,5.4,69.5,-93.5,2,y,n
218,2403945,WAGER_BAY_(AUT),NU,2001,1,2019,12,42.6,65.8,-89.4,1,n,y
219,3010237,ANDREW,ALTA,1974,11,2019,12,3.1,53.9,-112.2,62,y,n
220,3060330,ATHABASCA,ALTA,1918,6,2019,12,3.7,54.6,-113.3,63,y,n
221,3050519,BANFF,ALTA,1887,11,2019,12,2.7,51.2,-115.5,139,y,y
222,3050602,BEAVER_MINES,ALTA,2012,2,2019,12,3.9,49.4,-114.1,125,n,y
223,3070600,BEAVERLODGE,ALTA,1913,4,2019,12,1.7,55.2,-119.4,74,y,y
224,3050778,BOW_VALLEY,ALTA,1967,5,2019,12,24.6,51,-115,129,y,n
225,3030QLP,BROOKS,ALTA,1915,5,2019,12,19.2,50.5,-111.8,74,y,y
226,3030838,BROOKS_AHRC,ALTA,1912,4,1980,5,16.6,50.5,-111.9,75,y,n
227,3010890,BROWNFIELD,ALTA,1958,9,2009,6,0.5,52.3,-111.4,75,n,n
228,3031000,CALDWELL,ALTA,1932,4,1990,11,7.1,49.1,-113.6,128,n,n
229,3031094,CALGARY,ALTA,1885,1,2019,12,0.3,51.1,-114,108,y,y
230,3011120,CALMAR,ALTA,1915,11,2018,9,11.2,53.2,-113.8,72,n,n
231,3061201,CAMPSIE,ALTA,1912,9,2019,12,1.7,54.1,-114.6,64,y,y
232,3011240,CAMROSE,ALTA,1946,3,2019,12,3.5,53,-112.8,73,n,n
