SITE_ID,SITE_NAME,FLUXNET2015,FLUXNET-CH4,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP
FI-Sod,Sodankyla,CC-BY-4.0,,67.3624,26.6386,180,ENF,-1,500
FR-Fon,Fontainebleau-Barbeau,CC-BY-4.0,,48.4764,2.7801,103,DBF,10.2,720
FR-Gri,Grignon,CC-BY-4.0,,48.8442,1.9519,125,CRO,12,650
FR-LBr,Le Bray,CC-BY-4.0,,44.7171,-0.7693,61,ENF,13.6,900
FR-LGt,La Guette,,CC-BY-4.0,47.3229,2.2841,,WET,,
FR-Pue,Puechabon,CC-BY-4.0,,43.7413,3.5957,270,EBF,13.5,883
GF-Guy,Guyaflux (French Guiana),CC-BY-4.0,,5.2788,-52.9249,48,EBF,25.7,3041
GH-Ank,Ankasa,CC-BY-4.0,,5.2685,-2.6942,124,EBF,26,1900
GL-NuF,Nuuk Fen,CC-BY-4.0,,64.1308,-51.3861,50,WET,-1.4,750
GL-ZaF,Zackenberg Fen,CC-BY-4.0,,74.4814,-20.5545,38,WET,-9,211
GL-ZaH,Zackenberg Heath,CC-BY-4.0,,74.4733,-20.5503,38,GRA,-9,211
HK-MPM,Mai Po Mangrove,,CC-BY-4.0,22.4982,114.0292,-1,EBF,23.3,1400
ID-Pag,Palangkaraya undrained forest,,CC-BY-4.0,-2.32,113.9,30,EBF,26.2,2546
IT-BCi,Borgo Cioffi,CC-BY-4.0,CC-BY-4.0,40.5237,14.9574,20,CRO,18,600
IT-CA1,Castel d'Asso1,CC-BY-4.0,,42.3804,12.0266,200,DBF,14,766
IT-CA2,Castel d'Asso2,CC-BY-4.0,,42.3772,12.026,200,CRO,14,766
IT-CA3,Castel d'Asso3,CC-BY-4.0,,42.38,12.0222,197,DBF,14,766
IT-Cas,Castellaro,,CC-BY-4.0,45.07,8.7175,89,CRO,11.9,
IT-Col,Collelongo,CC-BY-4.0,,41.8494,13.5881,1560,DBF,6.3,1180
IT-Cp2,Castelporziano2,CC-BY-4.0,,41.7043,12.3573,19,EBF,15.2,805
IT-Cpz,Castelporziano,CC-BY-4.0,,41.7052,12.3761,68,EBF,15.6,780
IT-Isp,Ispra ABC-IS,CC-BY-4.0,,45.8126,8.6336,210,DBF,12.2,1300
IT-La2,Lavarone2,CC-BY-4.0,,45.9542,11.2853,1350,ENF,7.2,1150
IT-Lav,Lavarone,CC-BY-4.0,,45.9562,11.2813,1353,ENF,7.8,1291
IT-MBo,Monte Bondone,CC-BY-4.0,,46.0147,11.0458,1550,GRA,5.1,1214
IT-Noe,Arca di Noe - Le Prigionette,CC-BY-4.0,,40.6062,8.1517,25,CSH,15.9,588
IT-PT1,Parco Ticino forest,CC-BY-4.0,,45.2009,9.061,60,DBF,12.7,984
IT-Ren,Renon,CC-BY-4.0,,46.5869,11.4337,1730,ENF,4.7,809.3
IT-Ro1,Roccarespampani 1,CC-BY-4.0,,42.4081,11.93,235,DBF,15.15,876.2
IT-Ro2,Roccarespampani 2,CC-BY-4.0,,42.3903,11.9209,160,DBF,15.15,876.2
IT-SR2,San Rossore 2,CC-BY-4.0,,43.732,10.2909,4,ENF,14.2,920
IT-SRo,San Rossore,CC-BY-4.0,,43.7279,10.2844,6,ENF,14.2,920
IT-Tor,Torgnon,CC-BY-4.0,,45.8444,7.5781,2160,GRA,2.9,920
JP-BBY,Bibai bog,,CC-BY-4.0,43.323,141.8107,,WET,,
JP-MBF,Moshiri Birch Forest Site,CC-BY-4.0,,44.3869,142.3186,,DBF,,
JP-Mse,Mase rice paddy field,,CC-BY-4.0,36.0539,140.0269,,CRO,,
JP-SMF,Seto Mixed Forest Site,CC-BY-4.0,,35.2617,137.0788,,MF,,
JP-SwL,Suwa Lake,,CC-BY-4.0,36.0466,138.1084,,WAT,,
KR-CRK,Cheorwon Rice paddy,,CC-BY-4.0,38.2013,127.2506,182,CRO,11.2,1180.9
MY-MLM,Maludam National Park,,CC-BY-4.0,1.4536,111.1495,,EBF,,
MY-PSO,Pasoh Forest Reserve (PSO),CC-BY-4.0,,2.973,102.3062,,EBF,,
NL-Hor,Horstermeer,CC-BY-4.0,CC-BY-4.0,52.2403,5.0713,2.2,GRA,10,800
NL-Loo,Loobos,CC-BY-4.0,,52.1666,5.7436,25,ENF,9.8,786
NZ-Kop,Kopuatai,,CC-BY-4.0,-37.3879,175.5539,,EBF,,
PA-SPn,Sardinilla Plantation,CC-BY-4.0,,9.3181,-79.6346,78,DBF,26.5,2350
PA-SPs,Sardinilla-Pasture,CC-BY-4.0,,9.3138,-79.6314,68,GRA,26.5,2350
PH-RiF,Philippines Rice Institute flooded,,CC-BY-4.0,14.1412,121.2653,27,CRO,27.5,2112
RU-Ch2,Chersky reference,,CC-BY-4.0,68.6169,161.3509,4,WET,-12.5,200
RU-Che,Cherski,CC-BY-4.0,CC-BY-4.0,68.613,161.3414,6,WET,-11,197
RU-Cok,Chokurdakh,CC-BY-4.0,CC-BY-4.0,70.8291,147.4943,48,OSH,-14.3,232
RU-Fy2,Fyodorovskoye dry spruce,,CC-BY-4.0,56.4476,32.9019,,ENF,4.39,668.53
RU-Fyo,Fyodorovskoye,CC-BY-4.0,,56.4615,32.9221,265,ENF,3.9,711
